Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area
R0113379,SFR,7374,,BUCKINGHAM,CT,,UNINCORPORATED,Multi Sty,Good ++,2012,2080.0,1210,1210.0,0.0,Attached,400,5212.0,3598403,2017-06-14,639900,736207.499555489,401
R0113379,SFR,7374,,BUCKINGHAM,CT,,UNINCORPORATED,Multi Sty,Good ++,2012,2080.0,1210,1210.0,0.0,Attached,400,5212.0,3744235,2019-10-16,724000,744047.378201557,401
R0113381,SFR,7382,,BUCKINGHAM,CT,,UNINCORPORATED,Ranch,Good,1997,1261.0,1261,1099.0,162.0,Attached,480,6144.0,3571865,2017-01-24,519000,611154.539398306,401
R0113363,SFR,7387,,BUCKINGHAM,CT,,UNINCORPORATED,Ranch,Good ++,2000,1758.0,1532,1172.0,360.0,Attached,480,6408.0,3601046,2017-06-29,689000,792697.245184766,401
R0113384,SFR,7394,,BUCKINGHAM,CT,,UNINCORPORATED,Ranch,Good,1993,1758.0,1532,1172.0,360.0,Attached,480,5101.0,3668070,2018-07-25,707000,765700.785445462,401
R0112290,SFR,7303,,BUCKINGHAM,RD,,BOULDER,Multi Sty,Good,1992,2473.0,633,633.0,0.0,Attached,651,9687.0,3569770,2017-01-10,596500,702415.573701521,401
R0112288,SFR,7315,,BUCKINGHAM,RD,,BOULDER,Multi Sty,Good,1999,2140.0,783,450.0,333.0,Attached,580,7625.0,3698625,2019-02-14,666000,703393.382512237,401
R0112287,SFR,7327,,BUCKINGHAM,RD,,BOULDER,Multi Sty,Good ++,1993,2368.0,936,0.0,936.0,Attached,528,7936.0,3594559,2017-05-26,643000,743221.409035314,401
R0087993,SFR,6774,,BUGLE,CT,,UNINCORPORATED,Multi Sty,Good,1985,1628.0,844,345.0,499.0,Attached,528,7175.0,3714850,2019-05-23,577000,603186.486125896,401
R0088016,SFR,6829,,BUGLE,CT,,UNINCORPORATED,Multi Sty,Good,1996,2008.0,1133,0.0,1133.0,Attached,484,12525.0,3643097,2018-02-28,699000,774840.676348396,401
