Eff Yr Built,Above Grd SF,Basemt Fin SF,Basemt Unf SF,Garage SF,Est Land SF,Unincorporated,Quality_cat,Garage Attached,Design_1 Sty Townh,Design_Bi Level,Design_Condo,Design_Modular,Design_Multi Sty,Design_Multi Sty Townh,Design_Paired,Design_Patio,Design_Ranch,Design_Split level,Market Area_101,Market Area_102,Market Area_103,Market Area_104,Market Area_105,Market Area_106,Market Area_107,Market Area_108,Market Area_109,Market Area_401,Market Area_402,Market Area_403,Market Area_404,Market Area_405,Market Area_407,Market Area_501,Market Area_502,Market Area_503,Market Area_505,Market Area_506,Market Area_507,Market Area_630,Market Area_632,Market Area_633,Market Area_634,Time Adjust Sales Price,Property Type_DUP_TRI,Property Type_RCON,Property Type_SFR,Property Type_TWNHM
2009,1396.0,0.0,0.0,360,11950.0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561915.2,0,0,1,0
1986,1462.0,0.0,706.0,400,2821.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639520.951461805,0,0,1,0
1985,936.0,572.0,0.0,240,3243.0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547310.092884917,0,0,1,0
1994,1366.0,671.0,0.0,240,2784.0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589796.765218508,0,0,1,0
2000,1088.0,612.0,0.0,240,3344.0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553768.43302,0,0,1,0
1986,1725.0,564.0,84.0,0,2836.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563640.538621967,0,0,1,0
1987,1428.0,728.0,0.0,320,2954.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598201.360335914,0,0,1,0
1998,1252.0,412.0,150.0,480,2857.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620108.203272823,0,0,1,0
1993,936.0,0.0,0.0,240,3281.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479711.995457928,0,0,1,0
1991,1106.0,600.0,60.0,192,3502.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558775.077729264,0,0,1,0
